Fecha;Hora;PrEsp
27/8/21;1;125,33
27/8/21;2;122,76
27/8/21;3;121,07
27/8/21;4;120,06
27/8/21;5;119,91
27/8/21;6;119,91
27/8/21;7;120,41
27/8/21;8;122
27/8/21;9;122,67
27/8/21;10;121,86
27/8/21;11;119,91
27/8/21;12;119,87
27/8/21;13;119,87
27/8/21;14;119,91
27/8/21;15;119,87
27/8/21;16;107
27/8/21;17;108,72
27/8/21;18;106,75
27/8/21;19;107,7
27/8/21;20;119,91
27/8/21;21;122,34
27/8/21;22;124,67
27/8/21;23;122,95
27/8/21;24;120,41
28/8/21;1;128,29
28/8/21;2;126,53
28/8/21;3;123,94
28/8/21;4;122,95
28/8/21;5;118,53
28/8/21;6;117,14
28/8/21;7;119,45
28/8/21;8;120,27
28/8/21;9;120,95
28/8/21;10;122,5
28/8/21;11;109,43
28/8/21;12;94,5
28/8/21;13;93
28/8/21;14;96,4
28/8/21;15;93,99
28/8/21;16;91,02
28/8/21;17;88,59
28/8/21;18;87,95
28/8/21;19;89,5
28/8/21;20;97,5
28/8/21;21;117,04
28/8/21;22;125,01
28/8/21;23;123,94
28/8/21;24;116,86
29/8/21;1;103
29/8/21;2;93,11
29/8/21;3;93,08
29/8/21;4;93,08
29/8/21;5;93,08
29/8/21;6;93,11
29/8/21;7;101,79
29/8/21;8;102,6
29/8/21;9;102,44
29/8/21;10;105,98
29/8/21;11;93,1
29/8/21;12;93,06
29/8/21;13;93,08
29/8/21;14;96,97
29/8/21;15;99,44
29/8/21;16;93,08
29/8/21;17;93,06
29/8/21;18;93,06
29/8/21;19;93,8
29/8/21;20;111,97
29/8/21;21;125,53
29/8/21;22;128,41
29/8/21;23;127,39
29/8/21;24;125,6
30/8/21;1;122,81
30/8/21;2;117,41
30/8/21;3;112,31
30/8/21;4;112,31
30/8/21;5;116,51
30/8/21;6;120,95
30/8/21;7;125
30/8/21;8;128,02
30/8/21;9;131,92
30/8/21;10;132,92
30/8/21;11;128,53
30/8/21;12;126,1
30/8/21;13;125,05
30/8/21;14;125,05
30/8/21;15;125,01
30/8/21;16;122,53
30/8/21;17;121,72
30/8/21;18;122,81
30/8/21;19;122,81
30/8/21;20;128,48
30/8/21;21;130,04
30/8/21;22;132,82
30/8/21;23;129,14
30/8/21;24;126,58
31/8/21;1;132,22
31/8/21;2;130
31/8/21;3;128,9
31/8/21;4;125,95
31/8/21;5;126,53
31/8/21;6;128,45
31/8/21;7;132,24
31/8/21;8;133,47
31/8/21;9;137,02
31/8/21;10;135,84
31/8/21;11;131,45
31/8/21;12;128,9
31/8/21;13;128,45
31/8/21;14;128,95
31/8/21;15;128,95
31/8/21;16;123,48
31/8/21;17;123,35
31/8/21;18;128
31/8/21;19;129,46
31/8/21;20;134,07
31/8/21;21;134,9
31/8/21;22;137,46
31/8/21;23;133,47
31/8/21;24;131,22
1/9/21;1;130,95
1/9/21;2;125,26
1/9/21;3;119,45
1/9/21;4;114,74
1/9/21;5;114,76
1/9/21;6;121,15
1/9/21;7;130,95
1/9/21;8;136,31
1/9/21;9;137,92
1/9/21;10;137,61
1/9/21;11;136,05
1/9/21;12;134,93
